Name,Height,Weight,BirthDate,BirthPlace
Jiří_Kovář,2.02,95000.0,1989-04-10,['Czechoslovakia', 'Zlín']
Joanna_Kaczor,1.91,72000.0,1984-09-16,['Poland', 'Wrocław']
Joanna_Mirek,1.86,68000.0,1977-02-17,['Poland', 'Myślenice']
Jochem_de_Gruijter,1.99,92000.0,1978-04-18,Leidschendam
Jochen_Schöps,2.0,100000.0,1983-10-08,['Germany', 'Villingen-Schwenningen']
Johan_López,2.01,100000.0,1989-04-16,Río San Juan María Trinidad Sánchez
James_Polster,1.98,100000.0,1979-02-08,['Saint Paul Minnesota', 'United States']
Jan_Nowakowski,2.02,95000.0,1994-05-17,Poland
Jan_Willem_Snippe,2.0,94000.0,1986-05-21,Heemskerk
Jasper_Diefenbach,1.95,90000.0,1988-03-17,Dordrecht
Jayson_Jablonsky,1.98,91000.0,1985-07-23,Orange California
Jelte_Maan,1.9,86000.0,1986-03-19,Lochem
Jenia_Grebennikov,1.88,72000.0,1990-08-13,['Rennes', 'France']
Jeroen_Rauwerdink,2.0,92000.0,1985-09-13,Zeist
Jeroen_Trommel,1.94,93000.0,['1980-08-01', '1981-08-01'],['Netherlands', 'Apeldoorn']
Joppe_Paulides,2.03,85000.0,1982-04-13,Noordwijkerhout
Joris_Marcelis,2.11,100000.0,1984-12-10,Heteren
Joshua_Slack,1.91,88000.0,1976-12-16,['Brisbane', 'Australia']
José_Martínez_(volleyball),2.0,100000.0,1993-01-23,Tijuana
José_Miguel_Cáceres,2.1,98000.0,1981-12-24,['Dominican Republic', 'Tamayo (Dominican Republic)']
Jovana_Brakočević,1.96,77000.0,1988-03-05,['Zrenjanin', 'Socialist Federal Republic of Yugoslavia']
Judith_Pietersen,1.88,67000.0,1989-07-03,['Netherlands', 'Eibergen']
Julia_Willand,1.78,69000.0,1972-04-06,['Nuremberg', 'West Germany']
Julien_Lyneel,1.92,85000.0,1990-04-15,['Montpellier', 'France']
Jungo_Morita,1.94,85000.0,1947-08-09,['Japan', 'Tokyo']
Junichi_Kuriuzawa,1.93,75000.0,1965-02-25,['Japan', 'Ōfunato']
Jurij_Gladyr,2.02,96000.0,1984-07-08,['Soviet Union', 'Ukraine', 'Poltava']
Jørre_Kjemperud,1.88,85000.0,1968-08-31,['Norway', 'Vikersund']
Jędrzej_Gruszczyński,1.83,73000.0,1997-11-13,Poland
Jędrzej_Maćkowiak,1.98,86000.0,1992-10-17,['Poland', 'Bełchatów']
Jaanus_Nõmmsalu,2.0,100000.0,1981-01-19,['Pärnu', 'Estonia']
Jacques_Yoko,1.97,88000.0,1972-04-29,['Paris', 'France']
Jairo_Hooi,2.01,88000.0,1978-03-13,Winterswijk
Jakub_Bednaruk,1.88,90000.0,1976-09-09,['Poland', 'Bielsko-Biała']
Jakub_Jarosz,1.97,94000.0,1987-02-10,['Poland', 'Nysa Poland']
Jakub_Kochanowski,1.99,84000.0,1997-07-17,['Poland', 'Giżycko']
Jakub_Novotný,1.96,86000.0,1979-04-20,['Czech Republic', 'Sokolov Czech Republic']
Jakub_Oczko,1.93,85000.0,1981-12-27,['Poland', 'Miedźna']
Jakub_Popiwczak,1.8,70000.0,1996-04-17,['Legnica', 'Poland']
Jakub_Szymański,1.98,80000.0,1998-03-25,Poland
Jakub_Ziobrowski,2.01,98000.0,1997-01-23,Poland
Rob_Bontje,2.06,94000.0,1981-05-12,['Limburg (Netherlands)', 'Grevenbicht']
Robbert_Andringa,1.92,85000.0,1990-04-28,Assen
Robert_Horstink,2.01,92000.0,1981-12-26,Twello
Robert_Nowotny,1.85,83000.0,1974-01-27,['Vienna', 'Austria']
Robert_Prygiel,2.0,100000.0,['1976-04-14', '1976-04-17'],['Poland', 'Radom']
Robert_Szczerbaniuk,1.99,89000.0,1977-05-29,['Poland', 'Wrocław']
Robert_Täht,1.91,82000.0,1993-08-15,['Võru', 'Estonia']
Robertlandy_Simón,2.06,112000.0,1987-06-11,['Guantánamo', 'Cuba']
Roberto_Reis,1.87,82000.0,1980-03-02,['Esmoriz', "Portugal men's national volleyball team"]
Robin_Overbeeke,1.98,92000.0,1989-03-21,Leidschendam
Robin_de_Kruijf,1.93,81000.0,1991-05-05,['Netherlands', 'Nieuwegein']
Rodrigo_Quiroga,1.94,84000.0,1987-03-23,['San Juan Argentina', 'Argentina']
Roland_Rademaker,1.92,83000.0,1982-03-18,Apeldoorn
Ron_Zwerver,2.0,93000.0,1967-06-06,Amsterdam
Rudy_Suwara,1.905,90720.0,1941-11-19,['New York City', 'New York']
Russell_Holmes_(volleyball),2.05,95000.0,1982-07-01,['California', 'Anaheim California', 'United States']
Ryoko_Tokuno,1.68,60000.0,1974-08-27,['Japan', 'Matsuyama Ehime']
Ryszard_Bosek,1.89,88000.0,1950-04-12,['Poland', 'Kamienna Góra']
Ramon_R._Martinez_Gion,1.93,85000.0,1990-09-12,['Amsterdam', 'Netherlands']
Raphael_Vieira_de_Oliveira,1.9,86000.0,1979-06-14,['Brazil', 'São João del Rei']
Raphaela_Folie,1.86,82000.0,1991-03-07,['Italy', 'Bolzano']
Rasamee_Supamool,1.81,75000.0,1992-01-10,['Thailand', 'Nakhon Ratchasima']
Rauno_Tamme,1.88,78000.0,1992-04-07,Estonia
Rebekka_Kadijk,1.75,68000.0,1979-06-16,['Netherlands', 'Werkendam']
Renee_Teppan,1.97,89000.0,1993-09-26,Estonia
Ricardo_Lucarelli_Souza,1.95,79000.0,1992-02-14,['Brazil', 'Contagem']
Ricardo_Santos_(beach_volleyball),2.0,103000.0,1975-01-06,Salvador Bahia
Rich_Duwelius,1.98,89000.0,1954-11-23,Benton Kentucky
Richard_Rademaker,1.91,80000.0,1982-03-18,Apeldoorn
Rie_Takaki,1.76,64000.0,1983-08-09,['Japan', 'Yamaguchi Prefecture', 'Hōfu']
Riho_Ōtake,1.83,65000.0,1993-12-23,['Japan', 'Kanagawa Prefecture', 'Yokohama']
Risa_Ishii,1.79,66000.0,1990-05-19,['Japan', 'Yamanashi Prefecture', 'Tsuru Yamanashi']
Risa_Shinnabe,1.73,66000.0,1990-07-11,['Japan', 'Kagoshima Prefecture', 'Kokubu Kagoshima']
Rivo_Vesik,1.98,90000.0,1980-07-15,['Pärnu', 'Estonia']
Rafał_Buszek,1.98,88000.0,['1987-04-28', '1987-04-29'],['Poland', 'Dębica']
Rahman_Davoudi,1.95,95000.0,1988-02-18,['Iran', 'Qazvin']
Raimo_Pajusalu,2.0,96000.0,1981-02-01,['Pärnu', 'Estonia']
Rait_Rikberg,1.74,79000.0,1982-08-30,['Tartu', 'Estonia']
Ma_Yunwen,1.9,67000.0,1986-10-19,['China', 'Shanghai']
Maarten_van_Garderen,2.0,89000.0,1990-01-24,Renswoude
Maciej_Muzaj,2.08,88000.0,1994-05-21,['Poland', 'Wrocław']
Maciej_Zajder,2.02,96000.0,1988-01-31,['Poland', 'Łask']
Madis_Pärtel,1.91,82000.0,1985-11-01,Estonia
Magdalena_Gryka,1.78,65000.0,1994-03-28,['Poland', 'Białystok']
Magdalena_Śliwa,1.73,69000.0,1969-11-17,['Poland', 'Maków Lesser Poland Voivodeship']
Mai_Fujii,1.74,62000.0,1989-04-12,['Japan', 'Kitakyushu']
Mai_Uemura,1.83,74000.0,1987-09-15,['Japan', 'Watarai Mie']
Mai_Yamaguchi,1.76,62000.0,1983-07-03,['Japan', 'Mie Prefecture', 'Shima Mie']
Maiko_Kano,1.85,65000.0,1988-07-05,['Japan', 'Tokyo', 'Mitaka Tokyo']
Maja_Tokarska,1.93,72000.0,1991-02-22,['Gdańsk', 'Poland']
Mami_Yoshida,1.58,57000.0,1986-06-05,['Japan', 'Fukuoka Prefecture', 'Miyako District Fukuoka']
Manos_Xenakis,1.96,90000.0,1978-08-11,['Athens', 'Glyfada']
Marcel_Gromadowski,2.02,103000.0,1985-12-19,['Poland', 'Wrocław']
Marcelo_Negrão,1.98,90000.0,1972-10-10,['Brazil', 'São Paulo']
Marcin_Jagoda,1.91,93000.0,1980-12-28,['Tarzana Los Angeles', 'United States']
Marcin_Janusz,1.95,85000.0,1994-07-31,['Poland', 'Nowy Sącz']
Marcin_Możdżonek,2.11,104000.0,1985-02-09,['Poland', 'Olsztyn']
Marcin_Waliński,1.95,85000.0,1990-10-24,['Poland', 'Trzcianka']
Marcin_Wika,1.94,94000.0,1983-11-09,Puck Poland
Marco_Falaschi,1.87,85000.0,1987-09-18,['Italy', "Santa Croce sull'Arno"]
Marco_Negri_(volleyball),1.93,84000.0,1955-05-24,Mantua
Marcos_Milinkovic,2.05,99000.0,1971-12-22,['Villa Ballester', 'Argentina']
Marcus_Böhme,2.11,116000.0,1985-08-25,['Berlin', 'Germany']
Marcus_Popp,1.92,83000.0,1981-09-23,['Germany', 'Flöha']
Maret_Balkestein-Grothues,1.8,68000.0,1988-09-16,['Netherlands', 'Almelo']
Matti_Oivanen,1.98,90000.0,1986-05-26,['Finland', 'Huittinen']
Mauro_Di_Bernardo,1.91,85000.0,['1954-08-13', '1956-03-24'],Grottammare
Mauro_Gavotto,2.01,88000.0,1979-04-16,['Italy', 'Cuneo']
Max_Günthör,2.06,88000.0,1985-08-09,['Germany', 'Friedrichshafen']
Maxim_Mikhaylov,2.02,105000.0,1988-03-19,['Soviet Union', 'Kuzmolovsky', "Russia men's national volleyball team"]
Maxwell_Holt,2.05,90000.0,1987-03-12,['United States', 'Cincinnati']
May_Luna,1.72,54550.0,['1996-05-03', '1998-05-03'],['Philippines', 'Davao City']
Mayra_García,1.73,64000.0,1972-05-16,['Tijuana', 'Tecate', 'Mexico']
Megumi_Kurihara,1.87,69000.0,1984-07-31,['Japan', 'Hiroshima Prefecture', 'Etajima Hiroshima']
Mehdi_Mahdavi,1.9,92000.0,1984-02-13,Karaj
Mehdi_Marandi,1.72,69000.0,1986-05-12,['Iran', 'Qazvin']
Mered_de_Vries,1.74,64000.0,1977-09-25,Harich Friesland
Merel_Mooren,1.86,70000.0,1982-09-22,['Netherlands', 'Haarlem']
Mi_Yang,1.8,70000.0,1989-01-24,['China', 'Tianjin']
Micah_Christenson,1.98,88000.0,1993-05-08,['Honolulu', 'United States']
Michael_Andrei,2.1,98000.0,1985-08-06,['Romania', 'Constanța']
Michael_Brüning,1.92,108000.0,1969-11-11,['Tucson Arizona', 'United States']
Michael_Olieman,2.02,97000.0,1983-04-17,['Netherlands', 'Utrecht']
Michael_Sánchez,2.06,100000.0,1986-06-05,['Soviet Union', 'Kiev']
Michalis_Triantafyllidis,1.94,90000.0,1962-06-29,Drapetsona
Michaël_Parkinson_(volleyball),2.03,98000.0,1991-11-23,Reading Berkshire
Michał_Bąkiewicz,1.97,89000.0,1981-03-22,['Poland', 'Piotrków Trybunalski']
Michał_Filip,1.95,94000.0,1994-08-31,['Poland', 'Rzeszów']
Michał_Kamiński_(volleyball),2.1,112000.0,1987-05-17,Poland
Michał_Kubiak,1.93,87000.0,1988-02-23,['Poland', 'Wałcz']
Michał_Kędzierski,1.95,87000.0,1994-08-09,Poland
Michał_Ruciak,1.9,82000.0,1983-08-22,['Poland', 'Świnoujście']
Michał_Winiarski,2.0,82000.0,1983-09-28,['Poland', 'Bydgoszcz']
Michał_Łasko,2.02,99000.0,1981-03-11,['Poland', 'Wrocław']
Michał_Żurek,1.82,78000.0,1988-06-03,['Poland', 'Kędzierzyn-Koźle']
Michele_Baranowicz,1.95,93000.0,1989-08-05,['Italy', 'Mondovì']
Michele_Gumabao,1.78,63000.0,1992-09-02,['Philippines', 'San Mateo California', 'Quezon City']
Midori_Takahashi,1.72,67000.0,1980-03-10,['Japan', 'Fukushima Prefecture', 'Date Fukushima']
Miguel_Ángel_De_Amo,1.85,80000.0,1985-09-16,['Spain', 'Madrid']
Miguel_Ángel_Falasca,1.94,90000.0,1973-04-29,['Mendoza Argentina', 'Argentina']
Mihajlo_Mitić,2.01,90000.0,1990-09-17,['Veliko Gradište', "Serbia men's national volleyball team"]
Mihajlo_Stanković,2.0,83000.0,1993-06-05,['Serbia', 'Novi Sad']
Mika_Saiki,1.72,63000.0,1972-09-25,Matsuyama Ehime
Mika_Yamauchi,1.82,69000.0,1969-10-07,['Japan', 'Akita Prefecture', 'Yurihonjō']
Maria_Liktoras,1.91,73000.0,1975-02-20,['Soviet Union', 'Mineralnye Vody']
Maria_Perepelkina,1.87,72000.0,1984-03-09,['Kazakhstan', 'Russia', 'Almaty']
Marianne_Fersola,1.91,60000.0,1992-01-16,['Dominican Republic', 'Santo Domingo']
Marina_Pankova,1.8,78000.0,1963-03-03,['Soviet Union', 'Bratsk']
Mario_Mattioli,1.85,80000.0,1945-01-01,Ravenna
Mariola_Zenik,1.73,64000.0,['1982-07-03', '1982-07-30'],['Poland', 'Węgrów']
Mariusz_Marcyniak,2.06,98000.0,1992-03-05,['Poland', 'Chełm']
Mariusz_Prudel,1.91,80000.0,1986-01-21,Rybnik
Mariusz_Wlazły,1.94,80000.0,1983-08-04,['Poland', 'Wieluń']
Mark_Lewis_(beach_volleyball),1.98,86000.0,1980-10-20,Westmoreland Parish
Mark_Williams_(volleyball),1.99,89000.0,1979-03-27,['Sydney', 'Australia']
Marko_Ivović,1.94,89000.0,1990-12-22,['Socialist Federal Republic of Yugoslavia', 'Ljig', 'Socialist Republic of Serbia']
Marko_Podraščanin,2.04,92000.0,1987-08-29,['Serbia', 'Novi Sad', 'Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Serbia']
Marko_Samardžić,1.9,82000.0,1983-02-22,['Serbia', 'Belgrade', 'Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Serbia']
Markus_Steuerwald,1.82,85000.0,1989-03-07,['Germany', 'Wolfach']
Marleen_van_Iersel,1.8,69000.0,1988-01-07,['Netherlands', 'Breda']
Marlon_Palharini,194.0,86000.0,1984-02-03,Jandaia do Sul
Marrit_Leenstra_(volleyball),1.79,68000.0,1973-10-18,['Netherlands', 'Emmen Netherlands']
Mart_van_Werkhoven,2.08,93000.0,1991-12-11,Leiden
Martha_Revuelta,1.76,77000.0,1986-09-06,['Mexico City', 'Mexico']
Martti_Juhkami,1.95,94000.0,1988-06-06,['Rakvere', 'Estonia']
María_José_Orellana,1.64,56000.0,1981-04-08,Guatemala
Masafumi_Ōura,1.88,82000.0,1969-09-28,['Nagasaki Prefecture', 'Tsushima Nagasaki']
Masami_Taniguchi,1.77,62000.0,1976-09-17,['Japan', 'Miyazaki Prefecture', 'Miyazaki Miyazaki']
Masami_Yokoyama,1.7,57000.0,1981-12-12,['Japan', 'Koto Tokyo']
Masoud_Gholami,2.0,95000.0,1991-04-02,Iran
Matej_Černič,1.92,80000.0,1978-09-13,['Italy', 'Gorizia']
Mateusz_Bieniek,2.1,98000.0,1994-04-05,['Poland', 'Blachownia']
Mateusz_Czunkiewicz,1.8,73000.0,1996-12-16,['Poland', 'Bartoszyce']
Mateusz_Malinowski,1.97,85000.0,1992-05-06,['Poland', 'Piła']
Mateusz_Masłowski,1.86,81000.0,1997-06-13,Poland
Mateusz_Mika,2.06,92000.0,1991-01-21,['Poland', 'Kobiernice']
Matey_Kaziyski,2.02,93000.0,1984-09-23,Sofia
Mathieu_Hamel,1.9,82000.0,1972-08-28,['Caen', 'France']
Matt_Anderson_(volleyball),2.02,97520.0,1987-04-18,['Buffalo New York', 'United States', 'New York']
Matt_Zbyszewski,1.92,86000.0,1981-08-21,['Poland', 'Jasień']
Matteo_Martino,1.98,84000.0,1987-01-28,['Italy', 'Alessandria']
Matteo_Piano,2.08,102000.0,1990-10-24,['Italy', 'Asti']
Miki_Oyama,1.79,72000.0,1985-10-03,['Japan', 'Edogawa Tokyo']
Miki_Sasaki,1.82,77000.0,1976-12-15,['Japan', 'Hokkaido', 'Muroran Hokkaido']
Mikko_Oivanen,1.98,92000.0,1986-05-26,['Finland', 'Huittinen']
Milad_Ebadipour,1.96,78000.0,1993-10-17,['Iran', 'Urmia']
Milagros_Crespo,1.73,60000.0,1979-02-04,Cabaiguán
Milan_Rašić,2.05,86000.0,1985-02-02,['Niš', 'Zaječar', 'Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Serbia']
Milan_Vasić_(volleyball),2.04,98000.0,['1980-09-02', '1983-09-02'],['Serbia', 'Belgrade', 'Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Serbia']
Milena_Radecka,1.78,67000.0,1984-10-18,['Poland', 'Katowice']
Milena_Rosner,1.8,65000.0,1980-01-04,['Poland', 'Słupsk']
Miloš_Nikić,1.94,79000.0,1986-03-31,['Cetinje', 'Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Montenegro']
Miloš_Terzić,2.02,88000.0,1987-06-13,['Lazarevac', "Serbia men's national volleyball team"]
Mio_Satō,1.53,54000.0,1993-02-12,['Japan', 'Yamagata Prefecture', 'Yamagata Yamagata']
Mira_Golubović,1.88,70000.0,1976-10-15,['Socialist Federal Republic of Yugoslavia', 'Metković']
Misty_May-Treanor,1.7526,72000.0,1977-07-30,Los Angeles
Miwa_Asao,1.72,53000.0,1986-02-02,['Japan', 'Suzuka Mie']
Miya_Sato,1.76,75000.0,1986-10-23,['Japan', 'Shinagawa']
Miyu_Nagaoka,1.79,63000.0,1991-07-25,['Japan', 'Fukuoka Prefecture', 'Miyama Fukuoka']
Miyuki_Akiyama,1.63,60000.0,1984-08-27,['Japan', 'Ibaraki Prefecture', 'Hitachiōta Ibaraki']
Miyuki_Kano,1.75,65000.0,1977-05-17,['Japan', 'Tokyo', 'Mitaka Tokyo']
Miyuki_Takahashi,1.7,68000.0,1978-12-25,['Japan', 'Yamagata Prefecture', 'Yamagata Yamagata']
Mizuho_Ishida,1.74,67000.0,1988-01-22,['Japan', 'Gunma Prefecture', 'Tomioka Gunma']
Mohamed_Ali_Ben_Othmen_Miladi,1.95,85000.0,1991-05-12,['Tunisia', 'Nabeul']
Mohammad_Hassan_Senobar,2.1,94000.0,1989-07-11,['Iran', 'Pakdasht']
Mohammad_Javad_Manavinejad,2.0,84000.0,1995-11-27,['Iran', 'Isfahan']
Mohammad_Mohammadkazem,2.0,92000.0,1985-09-28,['Iran', 'Tehran']
Mohammad_Mousavi_(volleyball),2.03,86000.0,1987-08-22,['Iran', 'Dezful']
Mohammad_Taher_Vadi,1.94,85000.0,['1989-10-10', '1989-11-10'],['Iran', 'Mashhad']
Mojtaba_Mirzajanpour,2.05,88000.0,1991-10-07,['Iran', 'Babol']
Mojtaba_Shaban,1.92,86000.0,1987-03-18,['Iran', 'Tehran', 'Semnan Iran']
Monica_De_Gennaro,1.74,67000.0,1987-01-08,['Italy', 'Piano di Sorrento']
Monika_Bociek,1.88,74000.0,1996-04-06,Poland
Montri_Vaenpradab,1.95,75000.0,1987-08-18,['Thailand', 'Ratchaburi']
Mory_Sidibé,1.93,92000.0,1987-07-16,['Noisy-le-Grand', 'France']
Mostafa_Sharifat,2.01,100000.0,1987-09-16,['Iran', 'Ahvaz']
Moustapha_M'Baye,1.98,93000.0,1992-01-22,['Gdańsk', 'Poland']
Murilo_Endres,1.9,76000.0,1981-05-03,['Brazil', 'Rio Grande do Sul', 'Passo Fundo']
Murphy_Troy,2.02,99000.0,1989-05-31,['St. Louis', 'United States']
Myrthe_Schoot,1.84,71000.0,1988-08-29,['Netherlands', 'Winterswijk']
Mārtiņš_Pļaviņš,1.9,87000.0,1985-05-08,['Latvia', 'Riga']
Édouard_Rowlandson,190.0,89000.0,1988-07-20,['Luxembourg', 'Luxembourg City']
Dany_Wilson,2.0,90000.0,1982-12-10,Westmoreland Parish
Daria_Isaeva,1.86,75000.0,1990-03-29,['Moscow', 'Russia']
Daria_Paszek,1.85,76000.0,1991-08-30,['Poland', 'Krotoszyn']
Dariam_Acevedo,1.77,68000.0,1984-12-15,Trujillo Alto Puerto Rico
David_Smith_(volleyball),2.01,86000.0,1985-05-15,['Los Angeles', 'Panorama City Los Angeles']
David_Thomas_(beach_volleyball),1.93,77000.0,1974-06-18,Sangre Grande
Dawid_Dryja,2.01,93000.0,1992-07-21,['Poland', 'Jasło']
Dawid_Konarski,1.98,101000.0,1989-08-31,['Poland', 'Świecie']
Dawid_Murek,1.96,101000.0,1977-07-24,['Poland', 'Międzyrzecz']
Dawid_Woch,1.98,81000.0,1997-05-16,Poland
Dejan_Bojović,1.98,96000.0,1983-04-03,['Serbia', 'Smederevska Palanka', 'Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Serbia']
Denden_Lazaro,1.524,54432.0,1992-01-21,Parañaque
Denise_Hanke,1.79,58000.0,1989-08-31,Berlin
Dennis_Borst,1.98,88000.0,1992-02-01,Bergambacht
Denys_Kaliberda,1.93,95000.0,1990-06-24,['Soviet Union', 'Poltava']
Diana_Estrada,1.73,53000.0,1986-04-16,['Mexico City', 'Mexico']
Dick_Kooy,2.02,80000.0,1987-12-03,['Netherlands', 'Baarn']
Dilara_Bağcı,1.65,62000.0,1994-02-02,Turkey
Dimitrios_Kazazis,1.94,95000.0,1966-10-24,Thessaloniki
Dimitrios_Soultanopoulos,2.0,90000.0,1981-09-03,Athens
Ding_Hui_(volleyball),1.85,80000.0,1989-06-24,['China', 'Hangzhou']
Dirk-Jan_van_Gendt,1.85,78000.0,1974-07-18,['Netherlands', 'Boxtel']
Dirk_Sparidans,1.81,86000.0,1989-03-05,Tilburg
Dirk_Westphal_(volleyball),2.03,92000.0,1986-01-31,['Berlin', 'Germany', 'West Germany']
Dmitriy_Muserskiy,2.18,104000.0,1988-10-29,['Soviet Union', 'Ukraine', 'Makiivka']
Dmytro_Pashytskyy,2.05,100000.0,1987-11-29,['Ukraine', 'Kiev']
Dominik_Witczak,1.98,102000.0,1983-01-02,['Poland', 'Ostrów Wielkopolski']
Dorota_Świeniewicz,1.8,65000.0,1972-07-27,['Poland', 'Głuszyca']
Dragan_Stanković,2.05,80000.0,1985-10-18,['Zaječar', 'Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Serbia', "Serbia men's national volleyball team"]
Dragan_Travica,2.0,98000.0,1986-08-28,['Croatia', 'Zagreb', 'Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Croatia']
Dávid_Szabó,2.02,97000.0,1990-01-13,Kazincbarcika
Daan_van_Haarlem,1.98,89000.0,1989-03-15,Doetinchem
Damian_Domagała,1.98,81000.0,1998-04-23,Poland
Damian_Schulz,2.08,95000.0,1990-02-26,['Poland', 'Lębork']
Damian_Wojtaszek,1.8,76000.0,1988-09-07,['Poland', 'Milicz']
Daniel_Lewis_(volleyball),1.9,88000.0,1976-04-03,['Oakville Ontario', 'Canada']
Daniel_Pliński,2.04,100000.0,1978-12-10,['Poland', 'Puck Poland']
Çağla_Akın,1.77,70000.0,1995-01-19,['Istanbul', 'Turkey']
Žarko_Kisić,1.96,94000.0,1986-04-05,['Bosnia and Herzegovina', 'Brčko']
Amir_Ghafour,2.02,90000.0,['1991-02-11', '1991-06-06'],['Iran', 'Kashan']
Amir_Hosseini,1.83,78000.0,1975-07-23,['Iran', 'Mashhad']
Amporn_Hyapha,1.8,70000.0,1985-05-19,['Thailand', 'Nakhon Sawan']
Ana_Antonijević,1.85,72000.0,1987-08-26,['Užice', 'Socialist Federal Republic of Yugoslavia']
Ana_Moser,1.85,70000.0,1968-08-14,['Brazil', 'Blumenau']
Anderson_Rodrigues_(volleyball),1.9,95000.0,1974-05-21,['Brazil', 'Belo Horizonte']
Andrea_Giovi,1.85,80000.0,1983-08-19,['Italy', 'Perugia']
